time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-04-29T05:51:05.880Z,39.4835,-119.9783333,-0.325,3.1,mh,2,279,1.179,0.02,ci,ci10321205,2016-03-09T04:15:40.839Z,"4km SSE of Verdi, NV",earthquake,1.82,31.61,,0,reviewed,ci,ci
2008-04-28T11:33:18.320Z,39.5601667,-119.9086667,5.635,4.2,mh,2,283,1.231,0.01,ci,ci10321033,2016-03-09T05:40:35.164Z,"5km NNE of Mogul, NV",earthquake,7.58,10,,0,reviewed,ci,ci
2008-04-27T17:49:49.990Z,39.5436667,-119.9218333,5.665,3,mh,2,282,1.221,0.02,ci,ci10320909,2016-03-09T16:38:56.230Z,"3km N of Mogul, NV",earthquake,1.71,31.61,,0,reviewed,ci,ci
2008-04-26T15:20:40.572Z,39.546,-119.9456,0.2,3.4,ml,43,54.49,0.018,0.1334,nn,nn00283280,2016-03-08T22:34:25.770Z,"3km NNW of Mogul, Nevada",earthquake,0.51,2,0.35,8,reviewed,nn,nn
2008-04-26T09:11:59.819Z,39.5247,-119.9285,1.2,3.5,ml,42,46.45,0.005,0.1127,nn,nn00242605,2016-03-09T00:00:53.952Z,"1km N of Mogul, Nevada",earthquake,0.45,0.6,0.4,8,reviewed,nn,nn
2008-04-26T07:29:20.041Z,39.5297,-119.9308,2.7,3.7,ml,44,36.49,0.001,0.1615,nn,nn00242561,2016-03-08T21:06:42.992Z,"1km NNW of Mogul, Nevada",earthquake,0.43,0.9,0.41,8,reviewed,nn,nn
2008-04-26T06:43:50.828Z,39.5207,-119.923,1.3,3.4,ml,46,37.91,0.002,0.1118,nn,nn00242528,2015-11-17T08:18:03.379Z,"0km NNE of Mogul, Nevada",earthquake,0.4,0.7,0.14,5,reviewed,nn,nn
2008-04-26T06:40:10.453Z,39.5231,-119.9393,2.8,5.1,ml,35,39.56,0.008,0.122,nn,nn00385392,2016-11-10T01:55:12.004Z,"1km NW of Mogul, Nevada",earthquake,0.57,0.5,0.13,2,reviewed,nn,nn
2008-04-26T06:39:59.648Z,39.5212,-119.9279,2.8,3.6,ml,40,38.3,0.002,0.104,nn,nn00242527,2016-03-09T17:07:29.421Z,"0km N of Mogul, Nevada",earthquake,0.49,0.5,1.05,5,reviewed,nn,nn
2008-04-26T01:13:20.999Z,39.5246,-119.9283,0.9,3.9,ml,37,40.12,0.005,0.1005,nn,nn00242477,2016-03-09T14:45:34.771Z,"1km N of Mogul, Nevada",earthquake,0.5,0.8,0.52,6,reviewed,nn,nn
2008-04-25T17:30:10.270Z,39.5673333,-119.9245,5.665,3.3,mh,2,284,1.218,0.07,ci,ci10320469,2016-03-08T17:41:01.551Z,"6km N of Mogul, NV",earthquake,2.05,31.61,,0,reviewed,ci,ci
2008-04-25T08:42:58.490Z,39.54,-119.9213333,5.665,3.3,mh,2,282,1.221,0.03,ci,ci10320393,2016-03-09T02:51:47.900Z,"3km N of Mogul, NV",earthquake,1.64,31.61,,0,reviewed,ci,ci
2008-04-25T01:00:33.740Z,39.573,-119.9326667,5.665,3.3,mh,2,284,1.212,0.13,ci,ci10320349,2016-03-08T21:06:41.677Z,"7km N of Mogul, NV",earthquake,2.46,31.61,,0,reviewed,ci,ci
2008-04-24T22:55:48.953Z,39.5297,-119.9332,2.9,4.1,ml,49,50.11,0.002,0.1217,nn,nn00242164,2016-03-09T09:56:59.454Z,"1km NNW of Mogul, Nevada",earthquake,0.5,0.5,0.18,4,reviewed,nn,nn
2008-04-24T22:47:04.170Z,39.528,-119.9283,2.2,3.8,ml,46,41.88,0.003,0.1415,nn,nn00242157,2016-03-09T07:08:30.017Z,"1km N of Mogul, Nevada",earthquake,0.46,0.5,0.16,5,reviewed,nn,nn
2008-04-21T19:14:10.290Z,39.5163333,-119.9556667,-0.325,3.1,mh,2,280,1.195,0.01,ci,ci10319645,2016-03-09T09:56:47.538Z,"3km W of Mogul, NV",earthquake,2.45,31.61,,0,reviewed,ci,ci
2008-04-15T21:33:57.644Z,39.5358,-119.9339,1.7,3.5,ml,40,47.29,0.006,0.1202,nn,nn00241238,2016-03-09T05:39:51.069Z,"2km NNW of Mogul, Nevada",earthquake,0.49,0.7,0.04,3,reviewed,nn,nn
2008-04-15T21:32:31.818Z,39.5283,-119.9308,1.9,3.5,ml,46,42.55,0.003,0.1151,nn,nn00241404,2016-03-08T22:33:51.934Z,"1km NNW of Mogul, Nevada",earthquake,0.5,0.5,0.28,4,reviewed,nn,nn
2008-04-15T21:26:35.320Z,39.534,-119.932,1.5,3.2,ml,9,123.6,,,us,usp000g40p,2015-01-28T23:26:15.328Z,"Nevada",earthquake,,,,,reviewed,ren,ren
2008-04-15T14:59:40.820Z,39.4336667,-120.0955,3.145,3.4,mh,6,218,1.094,1.19,ci,ci10318461,2016-03-09T11:19:45.256Z,"13km SW of Verdi, NV",earthquake,5.98,8.81,,0,reviewed,ci,ci
2008-04-02T00:07:46.350Z,39.522,-119.932,2.3,3,ml,9,105.1,,,us,usp000g2xf,2014-11-07T01:35:27.321Z,"Nevada",earthquake,,,,,reviewed,ren,ren
2008-03-27T03:42:14.350Z,39.532,-119.936,1.7,3.2,ml,11,92.9,,,us,usp000g2fa,2015-01-29T00:35:11.483Z,"Nevada",earthquake,,,,,reviewed,ren,ren
2008-03-24T19:16:14.300Z,39.525,-119.932,1.9,3.1,ml,8,105,,,us,usp000g291,2014-11-07T01:35:18.916Z,"Nevada",earthquake,,,,,reviewed,ren,ren
2008-03-13T17:56:21.840Z,39.592,-120.29,10.5,3.1,ml,7,113.4,,,us,usp000g1dr,2014-11-07T01:35:15.082Z,"Northern California",earthquake,,,,,reviewed,ren,ren
2008-03-08T10:07:00.399Z,39.5229,-119.9321,1.5,3.2,ml,39,17.62,0.024,0.136,nn,nn00237524,2016-03-09T01:23:41.222Z,"1km NNW of Mogul, Nevada",earthquake,0.44,2.4,0.16,5,reviewed,nn,nn
2008-01-28T22:18:34.593Z,39.3087,-119.9713,11.2,3.5,ml,34,61.68,0.164,0.1098,nn,nn00231198,2015-11-17T13:56:28.069Z,"6km N of Incline Village, Nevada",earthquake,0.72,2.8,0.3,5,reviewed,nn,nn
2005-06-26T18:45:57.075Z,39.3097,-120.0602,9.7,4.5,ml,40,34.1,0.025,0.1184,nn,nn00146980,2015-11-17T20:57:54.830Z,"7km N of Tahoe Vista, California",earthquake,0.44,1,0,1,reviewed,nn,nn
2005-03-04T05:33:45.420Z,39.65,-119.324,12.2,3,ml,15,53.2,,,us,usp000dhg0,2014-11-07T01:25:10.644Z,"Nevada",earthquake,,,,,reviewed,ren,ren
2004-06-12T15:04:18.320Z,39.408,-120.224,10,3.4,ml,24,37.9,,,us,usp000cxsc,2015-01-28T21:34:38.609Z,"Northern California",earthquake,,,,,reviewed,ren,nc
2004-06-12T14:49:40.990Z,39.407,-120.2263,10.6,3.4,ml,44,46.19,0.058,0.1049,nn,nn00106827,2015-11-18T01:05:52.774Z,"9km NNW of Truckee, California",earthquake,0.39,0.9,0.52,5,reviewed,nn,nn
2004-06-03T08:54:45.585Z,39.3301,-120.0258,7.1,4.2,ml,49,30.09,0.038,0.137,nn,nn00106408,2015-11-18T01:18:22.744Z,"9km NNW of Incline Village, Nevada",earthquake,0.48,0.8,0.45,2,reviewed,nn,nn
2004-06-03T08:25:36.810Z,39.335,-120.016,9.2,3,ml,14,43.2,,,us,usp000cwzf,2014-11-07T01:22:32.025Z,"Northern California",earthquake,,,,,reviewed,ren,ren
2003-05-04T12:07:10.460Z,39.516,-119.569,7.5,3.4,ml,22,49.8,,,us,usp000bwkq,2014-11-07T01:18:33.402Z,"Nevada",earthquake,,,,,reviewed,ren,ren
2002-05-22T08:49:56.960Z,39.42,-119.588,20,3.1,md,17,,,,us,usp000b4s6,2014-11-07T01:15:39.073Z,"Nevada",earthquake,,,,,reviewed,ren,nc
2002-02-05T05:12:43.400Z,39.145,-119.582,7.9,3.1,md,25,,,,us,usp000axu0,2014-11-07T01:14:52.654Z,"Nevada",earthquake,,,,,reviewed,ren,nc
2001-10-30T04:43:19.000Z,39.3,-119.97,6.5,3,ml,15,,,,us,usp000arwu,2014-11-07T01:14:05.104Z,"Nevada",earthquake,,,,,reviewed,ren,nc
2001-07-07T07:39:52.650Z,39.301,-119.977,8.7,3.2,md,16,,,,us,usp000aj3x,2014-11-07T01:13:15.490Z,"Nevada",earthquake,,,,,reviewed,ren,nc
2001-07-07T07:33:54.200Z,39.311,-119.971,9.5,3.8,ml,32,,,,us,usp000aj3w,2015-01-28T23:15:30.925Z,"Nevada",earthquake,,,,,reviewed,ren,brk
2001-05-29T06:21:08.620Z,39.308,-119.98,9.3,3,md,13,,,,us,usp000afqg,2014-11-07T01:12:51.829Z,"Nevada",earthquake,,,,,reviewed,ren,nc
2000-11-25T17:38:20.000Z,39.676,-119.293,8.9,3.5,ml,26,,,,us,usp000a4xs,2014-11-07T01:11:33.894Z,"Nevada",earthquake,,,,,reviewed,ren,ren
1998-12-04T00:57:35.000Z,39.32,-119.98,11.4,3.6,ml,,,,,us,usp0008z4q,2014-11-07T01:06:35.740Z,"Nevada",earthquake,,,,,reviewed,ren,brk
1998-10-30T09:53:30.000Z,39.3,-119.98,10.3,4.8,mwr,,,,,us,usp0008x9u,2014-11-07T01:06:18.597Z,"Nevada",earthquake,,,,,reviewed,ren,brk
1998-06-20T22:50:42.000Z,39.53,-120.32,10.8,3.3,ml,,,,,us,usp0008q6u,2014-11-07T01:05:25.903Z,"Northern California",earthquake,,,,,reviewed,ren,brk
1998-05-20T16:19:43.000Z,39.64,-119.97,8,3.4,ml,,,,,us,usp0008neg,2014-11-07T01:05:14.574Z,"Nevada",earthquake,,,,,reviewed,ren,us
1998-01-15T15:12:14.710Z,39.425,-120.183,0.2,3.7,mwr,,,,,us,usp0008edb,2014-11-07T01:04:20.470Z,"Northern California",earthquake,,,,,reviewed,nc,brk
1997-11-14T23:37:06.220Z,39.535,-120.288,5,3.6,ml,,,,0.73,us,usp0008apj,2014-11-07T01:03:54.303Z,"Northern California",earthquake,,,,,reviewed,us,brk
1997-10-15T18:58:04.220Z,39.662,-120.135,5,3,ml,,,,1.12,us,usp000894p,2014-11-07T01:03:42.366Z,"Northern California",earthquake,,,,,reviewed,us,brk
1997-10-15T14:55:01.460Z,39.62,-120.072,4,3.2,md,,,,,us,usp000894a,2014-11-07T01:03:42.314Z,"Northern California",earthquake,,,,,reviewed,nc,nc
1997-10-15T06:35:55.790Z,39.598,-120.107,3.8,3,ml,,,,,us,usp0008939,2014-11-07T01:03:42.227Z,"Northern California",earthquake,,,,,reviewed,nc,brk
1997-10-14T18:18:05.090Z,39.62,-120.086,0.1,3.6,md,,,,,us,usp000891t,2014-11-07T01:03:41.935Z,"Northern California",earthquake,,,,,reviewed,nc,nc
1997-05-08T21:04:26.190Z,39.587,-120.162,3.2,3,ml,,,,,us,usp00081yb,2014-11-07T01:02:45.377Z,"Northern California",earthquake,,,,,reviewed,nc,brk
1997-02-23T18:18:33.950Z,39.633,-120.082,5,3.1,ml,,,,,us,usp0007xpy,2014-11-07T01:02:11.012Z,"Northern California",earthquake,,,,,reviewed,nc,brk
1997-01-20T06:16:24.900Z,39.605,-120.136,5,3,md,,,,0.29,us,usp0007w3z,2014-11-07T01:01:58.906Z,"Northern California",earthquake,,,,,reviewed,us,nc
1997-01-17T05:52:04.700Z,39.64,-120.033,5,3,ml,,,,0.49,us,usp0007vyu,2014-11-07T01:01:58.241Z,"Northern California",earthquake,,,,,reviewed,us,us
1997-01-14T00:02:26.980Z,39.587,-120.142,5,3,md,,,,1.01,us,usp0007vum,2014-11-07T01:01:57.870Z,"Northern California",earthquake,,,,,reviewed,us,nc
1997-01-10T20:44:14.370Z,39.604,-120.177,5,3.1,ml,,,,0.87,us,usp0007vqk,2014-11-07T01:01:57.413Z,"Northern California",earthquake,,,,,reviewed,us,brk
1996-12-12T18:35:40.150Z,39.3828333,-119.9273333,3.629,4.3,mh,6,338,,1.14,ci,ci7052948,2016-02-11T20:18:26.638Z,"15km S of Mogul, Nevada",earthquake,20.69,31.61,,0,reviewed,ci,ci
1996-11-16T01:53:35.080Z,39.677,-120.01,5,3.4,ml,,,,1,us,usp0007t2y,2014-11-07T01:01:35.840Z,"Northern California",earthquake,,,,,reviewed,us,brk
1995-11-17T18:16:55.200Z,39.683,-119.996,2.599,3.8,mb,0,0,,0,ci,ci3243552,2016-02-13T07:12:45.461Z,"2km W of Cold Springs, Nevada",earthquake,,,,0,reviewed,ci,ci
1995-11-16T14:59:24.000Z,39.7,-120.015,2.599,3.6,ml,0,0,,0,ci,ci3243401,2016-02-12T21:07:41.365Z,"4km NW of Cold Springs, Nevada",earthquake,,,,0,reviewed,ci,ci
1995-11-16T07:37:53.490Z,39.652,-120.048,5,3,md,,,,0.8,us,usp00076y0,2014-11-07T00:59:11.227Z,"Northern California",earthquake,,,,,reviewed,us,gm$
1995-11-15T21:58:19.000Z,39.69,-119.984,3.208,3.6,ml,0,0,,0,ci,ci3243290,2016-02-12T10:45:52.285Z,"1km NNW of Cold Springs, Nevada",earthquake,,,,0,reviewed,ci,ci
1995-11-15T21:09:28.270Z,39.622,-120.016,5,3,ml,,,,0.7,us,usp00076xb,2014-11-07T00:59:11.153Z,"Northern California",earthquake,,,,,reviewed,us,gs/
1995-11-15T20:33:58.400Z,39.672,-119.98,4.638,4.6,mb,0,0,,0,ci,ci3243273,2016-02-11T19:42:07.229Z,"1km SSW of Cold Springs, Nevada",earthquake,,,,0,reviewed,ci,ci
1995-11-15T20:18:47.800Z,39.673,-119.958,5,3.1,ml,,,,1,us,usp00076x6,2014-11-07T00:59:11.136Z,"Nevada",earthquake,,,,,reviewed,us,gs/
1995-04-08T22:06:17.390Z,39.317,-120.046,10.1,3,md,,,,,us,usp0006vcu,2014-11-07T00:57:40.746Z,"Northern California",earthquake,,,,,reviewed,nc,gm/
1994-11-18T21:12:43.200Z,39.171,-119.711,3.355,3.4,ml,0,0,3.211,0,ci,ci3193220,2016-02-12T05:19:54.522Z,"5km E of Carson City, Nevada",earthquake,,,,0,reviewed,ci,ci
1994-11-18T20:50:59.100Z,39.168,-119.733,3.599,4.4,ml,0,0,,0,ci,ci3193218,2016-02-12T18:00:38.290Z,"3km E of Carson City, Nevada",earthquake,,,,0,reviewed,ci,ci
